group,group_title,name,type,default,scope,consistency,aliases,deprecated,deprecated_message,const,description
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.index.service.client.cache.idle.timeout,duration,"""1day""",CLIENT,WARN,,,,CLIENT_INDEX_SERVICE_CLIENT_CACHE_IDLE_TIMEOUT,Idle timeout for cached index service clients. Entries that have not been accessed for this duration are evicted and their underlying gRPC channel is closed. Bounds long-tail resource accumulation when worker pods churn (every dead pod that the cache talked to would otherwise keep its channel alive forever). Default 1day favors avoiding spurious reconnects on sparse FUSE workloads at the cost of some log noise from dead-channel reconnect attempts (~720/day per evicted pod). Lower (e.g. 1h) for high-churn environments where many pods are recycled per day.
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.index.service.list.batch.size,int,1000,CLIENT,WARN,,,,CLIENT_INDEX_SERVICE_LIST_BATCH_SIZE,Batch size for listing directories. Default to 1000 which aligns with most object storage systems.
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.index.service.list.inactivity.timeout,duration,"""0""",CLIENT,WARN,,,,CLIENT_INDEX_SERVICE_LIST_INACTIVITY_TIMEOUT,"Per-batch inactivity timeout for the server-streaming listChildren RPC. When > 0, cancels the stream if the server fails to deliver the next batch within this window. Because batches arriving from the server reset the timer, this lets legitimate long listings run indefinitely while still failing fast on a worker that is stuck or blackholed mid-stream — the freeze the user sees is bounded by this value, not by the absolute listChildren deadline. Default 0 disables the inactivity timer entirely; the absolute listChildren deadline (alluxio.client.index.service.list.timeout) is then the only bound. The default is conservative pending the worker-side cancellation handling tracked under AC-7212 — set to a positive value (e.g. 30sec) to opt in once the worker side is ready."
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.index.service.list.timeout,duration,"""10min""",CLIENT,WARN,,,,CLIENT_INDEX_SERVICE_LIST_TIMEOUT,"Absolute deadline applied to the server-streaming listChildren RPC. Set generously because legitimate large-directory listings (e.g. prewarm of a million-file bucket) take real time; a stuck worker freezes the caller for up to this duration, but pre-fix behavior was an unbounded hang (AC-7179). Unary index service RPCs (addChild, removeChild, invalidate) use the generic alluxio.user.rpc.retry.max.duration timeout instead so they fail fast. Acts as a backstop alongside the per-batch inactivity timeout (alluxio.client.index.service.list.inactivity.timeout) — whichever fires first cancels the stream."
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.index.service.parallelism,int,,CLIENT,IGNORE,,,,CLIENT_INDEX_SERVICE_PARALLELISM,Number of threads used by the client index service
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.list.status.from.ufs.enabled,boolean,true,ALL,ENFORCE,,,,CLIENT_LIST_STATUS_FROM_UFS_ENABLED,"Whether or not to enable client list status directly from UFS,with the UFS iterateStatus API, bypassing worker"
01-client-fs-io,客户端文件系统与读写路径,alluxio.client.write.to.ufs.enabled,boolean,true,ALL,ENFORCE,,,,CLIENT_WRITE_TO_UFS_ENABLED,"Whether or not to enable client writing data directly to UFS. If enabled, client writes data to worker (to be cached in Paging Store) and to UFS (to be stored permanently). Client need UFS credentials in this case. Enabled by default."
01-client-fs-io,客户端文件系统与读写路径,alluxio.stream.consistency.check.enabled,boolean,false,ALL,WARN,,,,STREAM_CONSISTENCY_CHECK_ENABLED,"When this is enabled, Alluxio guarantees data consistency for the life cycle of a data stream. If the file contents changes during an ongoing stream, the stream will fail. And the caller should retry reading the whole file."
01-client-fs-io,客户端文件系统与读写路径,alluxio.stream.consistency.check.update.worker.cache,boolean,true,ALL,WARN,,,,STREAM_CONSISTENCY_CHECK_UPDATE_WORKER_CACHE,"When this is enabled, if a data stream fails on observing data inconsistency, the client will best-effort notify all relevant workers about a potential data version change. Consequently, the cluster will drop out-of-date cache and the next read will successfully observe latest file contents."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.app.id,string,,CLIENT,,,,,USER_APP_ID,"The custom id to use for labeling this client's info, such as metrics. If unset, a random long will be used. This value is displayed in the client logs on initialization. Note that using the same app id will cause client info to be aggregated, so different applications must set their own ids or leave this value unset to use a randomly generated id."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.block.avoid.eviction.policy.reserved.size.bytes,dataSize,"""0MiB""",CLIENT,WARN,,,,USER_BLOCK_AVOID_EVICTION_POLICY_RESERVED_BYTES,The portion of space reserved in a worker when using the LocalFirstAvoidEvictionPolicy class as block location policy.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.block.read.metrics.enabled,boolean,false,CLIENT,,,,,USER_BLOCK_READ_METRICS_ENABLED,Whether detailed block read metrics will be recorded and sink.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.block.size.bytes.default,dataSize,"""64MiB""",CLIENT,WARN,,,,USER_BLOCK_SIZE_BYTES_DEFAULT,Default block size for Alluxio files.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.block.worker.client.pool.gc.threshold,duration,"""24h""",CLIENT,WARN,,,,USER_BLOCK_WORKER_CLIENT_POOL_GC_THRESHOLD_MS,A block worker client is closed if it has been idle for more than this threshold.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.block.worker.client.pool.max,int,1024,CLIENT,WARN,alluxio.user.block.worker.client.pool.size,,,USER_BLOCK_WORKER_CLIENT_POOL_MAX,The maximum number of block worker clients cached in the block worker client pool.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.block.worker.client.pool.min,int,0,CLIENT,WARN,,,,USER_BLOCK_WORKER_CLIENT_POOL_MIN,The minimum number of block worker clients cached in the block worker client pool.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.consistent.hash.ring.versioning.enabled,boolean,false,ALL,ENFORCE,,,,USER_CONSISTENT_HASH_RING_VERSIONING_ENABLED,"If enabled, the consistent hash ring will be explicitly versioned to support batching updates and commiting afterwards."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.consistent.hash.ring.versioning.max.history.retained,int,20,ALL,ENFORCE,,,,USER_CONSISTENT_HASH_RING_VERSIONING_MAX_HISTORY_RETAINED,Max number of history versions of the hash ring retained in etcd.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.date.format.pattern,string,"""MM-dd-yyyy HH:mm:ss:SSS""",CLIENT,,,,,USER_DATE_FORMAT_PATTERN,Display formatted date in cli command and web UI by given date format pattern.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.default.delete.all.replicas,boolean,false,ALL,ENFORCE,,,,USER_DEFAULT_DELETE_ALL_REPLICAS,"If true, the client will attempt to find all replicas of a file and delete them. Otherwise, the client will only delete from the main worker for the path according to consistent hash. This configuration is recommended if Alluxio is running with multiple replicas for each file."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.dynamic.consistent.hash.ring.enabled,boolean,true,CLIENT,ENFORCE,,,,USER_DYNAMIC_CONSISTENT_HASH_RING_ENABLED,"If true, use live worker list to build consistent hash ring. Otherwise, use all worker list that includes lost workers to build consistent hash ring."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.buffer.bytes,dataSize,"""8MiB""",CLIENT,WARN,,,,USER_FILE_BUFFER_BYTES,The size of the file buffer to use for file system reads/writes.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.create.ttl,duration,Constants.NO_TTL,CLIENT,,,,,USER_FILE_CREATE_TTL,"Time to live for files created by a user, no ttl by default."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.create.ttl.action,enum,TtlAction.FREE,CLIENT,,,,,USER_FILE_CREATE_TTL_ACTION,"When file's ttl is expired, the action performs on it. Options: FREE(default), DELETE_ALLUXIO or DELETE"
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.delete.unchecked,boolean,false,CLIENT,,,,,USER_FILE_DELETE_UNCHECKED,Whether to check if the UFS contents are in sync with Alluxio before attempting to delete persisted directories recursively.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.include.operation.id,boolean,true,CLIENT,WARN,,,,USER_FILE_INCLUDE_OPERATION_ID,Whether to send a unique operation id with designated filesystem operations.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.list.cache.async.update.enable,boolean,true,CLIENT,WARN,,,,USER_FILE_LIST_CACHE_ASYNC_UPDATE_ENABLED,Whether to enable asynchronous update of metadata of changed file list.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.master.client.pool.gc.interval,duration,"""120sec""",CLIENT,WARN,,,,USER_FILE_MASTER_CLIENT_POOL_GC_INTERVAL_MS,The interval at which file system master client GC checks occur.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.master.client.pool.gc.threshold,duration,"""120sec""",CLIENT,WARN,,,,USER_FILE_MASTER_CLIENT_POOL_GC_THRESHOLD_MS,A fs master client is closed if it has been idle for more than this threshold.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.master.client.pool.size.max,int,500,CLIENT,WARN,alluxio.user.file.master.client.threads,,,USER_FILE_MASTER_CLIENT_POOL_SIZE_MAX,The maximum number of fs master clients cached in the fs master client pool.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.master.client.pool.size.min,int,0,CLIENT,WARN,,,,USER_FILE_MASTER_CLIENT_POOL_SIZE_MIN,"The minimum number of fs master clients cached in the fs master client pool. For long running processes, this should be set to zero."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.meta.parquet.dir,string,"format(""${%s}/file_meta_download"", Name.WORK_DIR)",CLIENT,WARN,,,,USER_FILE_META_PARQUET_DIR,A directory where stores parquets downloaded from workers.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.metadata.load.type,enum,LoadMetadataPType.ONCE,CLIENT,WARN,,,,USER_FILE_METADATA_LOAD_TYPE,"The behavior of loading metadata from UFS. When information about a path is requested and the path does not exist in Alluxio, metadata can be loaded from the UFS. Valid options are `ALWAYS`, `NEVER`, and `ONCE`. `ALWAYS` will always access UFS to see if the path exists in the UFS. `NEVER` will never consult the UFS. `ONCE` will access the UFS the ""first"" time (according to a cache), but not after that. This parameter is ignored if a metadata sync is performed, via the parameter ""alluxio.user.file.metadata.sync.interval"""
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.metadata.real.content.hash,boolean,false,SERVER,WARN,,,,USER_FILE_METADATA_LOAD_REAL_CONTENT_HASH,Whether to get real content hash of file when the file is loaded from UFS.
